car_value,salary_range,debt_to_income_ratio,loan_length,repaid_loan_on_prev_car,size_of_downpayment,driver_tenure,timestamp,y_pred_proba,y_pred,repaid
12638.0,0 - 20K €,0.4879263073031473,21.0,False,10%,4.224627596290295,2018-10-30 18:00:00.000,0.99,1,1
52425.0,20K - 20K €,0.6721834686006466,20.0,False,40%,4.963102897846603,2018-10-30 18:08:43.152,0.98,1,1
20369.0,40K - 60K €,0.7030898147625266,19.0,True,40%,4.588950522536988,2018-10-30 18:17:26.304,0.98,1,1
10592.0,20K - 20K €,0.6532578177433424,21.0,False,10%,4.711014564383213,2018-10-30 18:26:09.456,0.97,1,1
33933.0,0 - 20K €,0.7222634577793938,18.0,False,0%,0.9067383126174564,2018-10-30 18:34:52.608,0.92,1,1
11046.0,20K - 20K €,0.7227318912452438,7.0,True,10%,6.846546145452444,2018-10-30 18:43:35.760,0.25,0,0
18277.0,20K - 20K €,0.6826949986667529,15.0,True,0%,5.8523355896187415,2018-10-30 18:52:18.912,0.89,1,1
32929.0,20K - 20K €,0.7133360706931509,18.0,False,20%,0.780324145997945,2018-10-30 19:01:02.064,1.0,1,1
32814.0,60K+ €,0.7009466335903503,6.0,True,30%,6.21774902439107,2018-10-30 19:09:45.216,0.08,0,0
61859.0,60K+ €,0.7066471127276325,18.0,False,40%,0.1306060505475801,2018-10-30 19:18:28.368,0.95,1,1
24092.0,0 - 20K €,0.4486934061194724,6.0,False,40%,4.992466607510627,2018-10-30 19:27:11.520,0.02,0,0
17212.0,40K - 60K €,0.6661329507676556,14.0,False,30%,0.5594937550088975,2018-10-30 19:35:54.672,0.98,1,1
14998.0,0 - 20K €,0.3288303723823091,15.0,False,40%,6.427446363560204,2018-10-30 19:44:37.824,0.01,0,0
35603.0,20K - 20K €,0.6165344190681501,17.0,True,30%,5.834185047521807,2018-10-30 19:53:20.976,0.99,1,1
18353.0,40K - 60K €,0.6270670745633184,18.0,False,30%,0.6319612975024349,2018-10-30 20:02:04.128,0.97,1,1
72204.0,0 - 20K €,0.7175579069814662,20.0,True,0%,6.962861239716712,2018-10-30 20:10:47.280,0.92,1,1
65751.0,20K - 20K €,0.7011199319880866,11.0,False,20%,0.0734171205382108,2018-10-30 20:19:30.432,0.99,1,1
23916.0,0 - 20K €,0.7137330108404405,9.0,True,10%,6.412753253965075,2018-10-30 20:28:13.584,0.07,0,0
42506.0,0 - 20K €,0.6761739933386353,6.0,False,30%,0.2453099187082408,2018-10-30 20:36:56.736,0.97,1,1
40876.0,40K - 60K €,0.7222947451997569,17.0,False,10%,0.1926761762868474,2018-10-30 20:45:39.888,0.98,1,1
23722.0,0 - 20K €,0.7022639652631618,13.0,True,0%,6.899491787486829,2018-10-30 20:54:23.040,0.96,1,1
64702.0,0 - 20K €,0.6891129883248811,18.0,True,0%,6.9711413126962585,2018-10-30 21:03:06.192,0.99,1,0
55315.0,20K - 20K €,0.5591964369025274,20.0,True,30%,5.414844898407393,2018-10-30 21:11:49.344,0.93,1,1
43312.0,0 - 20K €,0.6402881117960234,8.0,False,20%,0.2024803974420441,2018-10-30 21:20:32.496,0.99,1,1
15943.0,0 - 20K €,0.2625095163910618,16.0,False,40%,4.953680229021473,2018-10-30 21:29:15.648,0.07,0,0
73569.0,20K - 20K €,0.4475208528187506,19.0,True,30%,6.786029421518715,2018-10-30 21:37:58.800,0.96,1,1
39974.0,60K+ €,0.5755449228147345,18.0,True,10%,6.67663933375895,2018-10-30 21:46:41.952,0.95,1,1
