chunk,chunk,chunk,chunk,chunk,chunk,chunk,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,roc_auc,magnitude,magnitude,magnitude,magnitude,magnitude,magnitude,magnitude
key,chunk_index,start_index,end_index,start_date,end_date,period,value,sampling_error,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert,value,sampling_error,upper_confidence_boundary,lower_confidence_boundary,upper_threshold,lower_threshold,alert
[0:4999],0,0,4999,2018-01-01 00:00:00,2018-01-31 06:27:16.848,reference,0.9709989289689848,0.0018107163559234,0.976431078036755,0.9655667799012144,0.9745390489698976,0.9557856890192484,False,0.0530397691970784,,,,0.0594740698040412,0.0501004807090425,False
[5000:9999],1,5000,9999,2018-01-31 06:36:00,2018-03-02 13:03:16.848,reference,0.9640292216803432,0.0018107163559234,0.9694613707481134,0.958597072612573,0.9745390489698976,0.9557856890192484,False,0.0544225475587743,,,,0.0594740698040412,0.0501004807090425,False
[10000:14999],2,10000,14999,2018-03-02 13:12:00,2018-04-01 19:39:16.848,reference,0.9687083461333592,0.0018107163559234,0.9741404952011294,0.963276197065589,0.9745390489698976,0.9557856890192484,False,0.0543121785851752,,,,0.0594740698040412,0.0501004807090425,False
[15000:19999],3,15000,19999,2018-04-01 19:48:00,2018-05-02 02:15:16.848,reference,0.9637277085641528,0.0018107163559234,0.969159857631923,0.9582955594963826,0.9745390489698976,0.9557856890192484,False,0.0544937215837299,,,,0.0594740698040412,0.0501004807090425,False
[20000:24999],4,20000,24999,2018-05-02 02:24:00,2018-06-01 08:51:16.848,reference,0.9607007815710612,0.0018107163559234,0.9661329306388312,0.9552686325032907,0.9745390489698976,0.9557856890192484,False,0.0591658426048428,,,,0.0594740698040412,0.0501004807090425,False
[25000:29999],5,25000,29999,2018-06-01 09:00:00,2018-07-01 15:27:16.848,reference,0.9624520255294924,0.0018107163559234,0.9678841745972628,0.9570198764617224,0.9745390489698976,0.9557856890192484,False,0.0550990742350615,,,,0.0594740698040412,0.0501004807090425,False
[30000:34999],6,30000,34999,2018-07-01 15:36:00,2018-07-31 22:03:16.848,reference,0.9660935442409648,0.0018107163559234,0.971525693308735,0.9606613951731944,0.9745390489698976,0.9557856890192484,False,0.0546073200402977,,,,0.0594740698040412,0.0501004807090425,False
[35000:39999],7,35000,39999,2018-07-31 22:12:00,2018-08-31 04:39:16.848,reference,0.9645535501470224,0.0018107163559234,0.9699856992147924,0.959121401079252,0.9745390489698976,0.9557856890192484,False,0.0537018786249821,,,,0.0594740698040412,0.0501004807090425,False
[40000:44999],8,40000,44999,2018-08-31 04:48:00,2018-09-30 11:15:16.848,reference,0.9682797523755372,0.0018107163559234,0.9737119014433075,0.9628476033077672,0.9745390489698976,0.9557856890192484,False,0.0548896703285673,,,,0.0594740698040412,0.0501004807090425,False
[45000:49999],9,45000,49999,2018-09-30 11:24:00,2018-10-30 17:51:16.848,reference,0.9620798307348116,0.0018107163559234,0.9675119798025816,0.9566476816670412,0.9745390489698976,0.9557856890192484,False,0.0541407498069096,,,,0.0594740698040412,0.0501004807090425,False
[0:4999],0,0,4999,2018-10-30 18:00:00,2018-11-30 00:27:16.848,analysis,0.9629938416694994,0.0018107163559234,0.9684259907372696,0.9575616926017292,0.9745390489698976,0.9557856890192484,False,0.0537931571140977,,,,0.0594740698040412,0.0501004807090425,False
[5000:9999],1,5000,9999,2018-11-30 00:36:00,2018-12-30 07:03:16.848,analysis,0.9657510942365908,0.0018107163559234,0.9711832433043612,0.9603189451688208,0.9745390489698976,0.9557856890192484,False,0.0525498910390944,,,,0.0594740698040412,0.0501004807090425,False
[10000:14999],2,10000,14999,2018-12-30 07:12:00,2019-01-29 13:39:16.848,analysis,0.9694895365467344,0.0018107163559234,0.9749216856145048,0.9640573874789644,0.9745390489698976,0.9557856890192484,False,0.0536280757318081,,,,0.0594740698040412,0.0501004807090425,False
[15000:19999],3,15000,19999,2019-01-29 13:48:00,2019-02-28 20:15:16.848,analysis,0.9616201178312072,0.0018107163559234,0.9670522668989774,0.9561879687634368,0.9745390489698976,0.9557856890192484,False,0.0556554685610848,,,,0.0594740698040412,0.0501004807090425,False
[20000:24999],4,20000,24999,2019-02-28 20:24:00,2019-03-31 02:51:16.848,analysis,0.9639872975742072,0.0018107163559234,0.9694194466419772,0.9585551485064367,0.9745390489698976,0.9557856890192484,False,0.0547346509378335,,,,0.0594740698040412,0.0501004807090425,False
[25000:29999],5,25000,29999,2019-03-31 03:00:00,2019-04-30 09:27:16.848,analysis,0.9569547646352764,0.0018107163559234,0.9623869137030464,0.951522615567506,0.9745390489698976,0.9557856890192484,False,0.0757561251369269,,,,0.0594740698040412,0.0501004807090425,True
[30000:34999],6,30000,34999,2019-04-30 09:36:00,2019-05-30 16:03:16.848,analysis,0.9333293409317746,0.0018107163559234,0.9387614899995448,0.9278971918640044,0.9745390489698976,0.9557856890192484,True,0.0883095681006815,,,,0.0594740698040412,0.0501004807090425,True
[35000:39999],7,35000,39999,2019-05-30 16:12:00,2019-06-29 22:39:16.848,analysis,0.94243075674316,0.0018107163559234,0.9478629058109302,0.9369986076753898,0.9745390489698976,0.9557856890192484,True,0.0846016210735932,,,,0.0594740698040412,0.0501004807090425,True
[40000:44999],8,40000,44999,2019-06-29 22:48:00,2019-07-30 05:15:16.848,analysis,0.952643475338498,0.0018107163559234,0.9580756244062684,0.9472113262707278,0.9745390489698976,0.9557856890192484,True,0.0730588358209382,,,,0.0594740698040412,0.0501004807090425,True
[45000:49999],9,45000,49999,2019-07-30 05:24:00,2019-08-29 11:51:16.848,analysis,0.935889910642802,0.0018107163559234,0.9413220597105724,0.930457761575032,0.9745390489698976,0.9557856890192484,True,0.0834014958587006,,,,0.0594740698040412,0.0501004807090425,True
